beatNumber,beatNameFromGeo,beatNameFromStops
122,PACIFIC BEACH,122 Pacific Beach (Northern)
621,LINDA VISTA,621 Linda Vista (Western)
622,MORENA,622 Morena (Western)
712,SAN YSIDRO,712 San Ysidro (Southern)
523,GASLAMP,523 Gaslamp (Central)
714,BORDER,714 Border (Southern)
242,MIRA MESA,242 Mira Mesa (Northeastern)
627,HILLCREST,627 Hillcrest (Western)
445,CHOLLAS VIEW,445 Chollas View (Southeastern)
327,COLLEGE EAST,327 College East (Eastern)
246,MIRAMAR RANCH NORTH,246 Miramar Ranch North (Northeastern)
524,CORE-COLUMBIA,524 Core-Columbia (Central)
723,OTAY MESA WEST,723 Otay Mesa West (Southern)
436,SKYLINE,436 Skyline (Southeastern)
611,MIDWAY DISTRICT,611 Midway District (Western)
725,OCEAN CREST,725 Ocean Crest (Southern)
315,MISSION VALLEY EAST,315 Mission Valley East (Eastern)
512,LOGAN HEIGHTS,512 Logan Heights (Central)
612,LOMA PORTAL,612 Loma Portal (Western)
541,PETCO PARK,541 Petco Park (Central)
447,RIDGEVIEW/WEBSTER,447 Ridgeview/Webster (Southeastern)
241,SCRIPPS RANCH,241 Scripps Ranch (Northeastern)
528,LITTLE ITALY,528 Little Italy (Central)
115,UNIVERSITY CITY,115 University City (Northern)
624,UNIVERSITY HEIGHTS,624 University Heights (Western)
123,MISSION BAY PARK,123 Mission Bay Park (Northern)
446,LINCOLN PARK,446 Lincoln Park (Southeastern)
311,SERRA MESA,311 Serra Mesa (Eastern)
233,RANCHO PENASQUITOS,233 Rancho Penasquitos (Northeastern)
433,ENCANTO,433 Encanto (Southeastern)
724,PALM CITY,724 Palm City (Southern)
721,EGGER HIGHLANDS,721 Egger Highlands (Southern)
936,TORREY HIGHLANDS,936 Torrey Highlands (Northwestern)
114,NORTH CLAIREMONT,114 North Clairemont (Northern)
831,TERALTA EAST,831 Teralta East (Mid-City)
441,MOUNTAIN VIEW,441 Mountain View (Southeastern)
112,CLAIREMONT MESA WEST,112 Clairemont Mesa West (Northern)
521,EAST VILLAGE,521 East Village (Central)
813,NORTH PARK,813 North Park (Mid-City)
933,DEL MAR HEIGHTS,933 Del Mar Heights (Northwestern)
451,OAK PARK,451 Oak Park (Southeastern)
832,TERALTA WEST,832 Teralta West (Mid-City)
826,COLINA DEL SOL,826 Colina Del Sol (Mid-City)
517,GOLDEN HILL,517 Golden Hill (Central)
116,BAY PARK,116 Bay Park (Northern)
722,NESTOR,722 Nestor (Southern)
113,BAY HO,113 Bay Ho (Northern)
811,NORMAL HEIGHTS,811 Normal Heights (Mid-City)
522,MARINA,522 Marina (Central)
825,KENSINGTON,825 Kensington (Mid-City)
234,RANCHO BERNARDO,234 Rancho Bernardo (Northeastern)
243,MIRAMAR,243 Miramar (Northeastern)
511,BARRIO LOGAN,511 Barrio Logan (Central)
625,OLD TOWN,625 Old Town (Western)
828,FOX CANYON,828 Fox Canyon (Mid-City)
824,TALMADGE,824 Talmadge (Mid-City)
821,ROLANDO,821 Rolando (Mid-City)
827,CHOLLAS CREEK,827 Chollas Creek (Mid-City)
321,GRANTVILLE,321 Grantville (Eastern)
124,LA JOLLA,124 La Jolla (Northern)
325,SAN CARLOS,325 San Carlos (Eastern)
618,SUNSET CLIFFS,618 Sunset Cliffs (Western)
516,STOCKTON,516 Stockton (Central)
442,SOUTHCREST,442 Southcrest (Southeastern)
834,CASTLE,834 Castle (Mid-City)
626,MISSION HILLS,626 Mission Hills (Western)
111,CLAIREMONT MESA EAST,111 Clairemont Mesa East (Northern)
324,LAKE MURRAY,324 Lake Murray (Eastern)
623,MISSION VALLEY WEST,623 Mission Valley West (Western)
514,SHERMAN HEIGHTS,514 Sherman Heights (Central)
438,PARADISE HILLS,438 Paradise Hills (Southeastern)
431,EMERALD HILLS,431 Emerald Hills (Southeastern)
814,ADAMS NORTH,814 Adams North (Mid-City)
839,CHEROKEE POINT,839 Cherokee Point (Mid-City)
432,VALENCIA PARK,432 Valencia Park (Southeastern)
443,SHELLTOWN,443 Shelltown (Southeastern)
232,CARMEL MOUNTAIN,232 Carmel Mountain (Northeastern)
437,BAY TERRACES,437 Bay Terraces (Southeastern)
614,OCEAN BEACH,614 Ocean Beach (Western)
935,NORTH CITY,935 North City (Northwestern)
617,WOODED AREA,617 Wooded Area (Western)
713,OTAY MESA,713 Otay Mesa (Southern)
529,PARK WEST,529 Park West (Central)
314,BIRDLAND,314 Birdland (Eastern)
515,GRANT HILL,515 Grant Hill (Central)
322,ALLIED GARDENS,322 Allied Gardens (Eastern)
931,SORRENTO VALLEY,931 Sorrento Valley (Northwestern)
121,MISSION BEACH,121 Mission Beach (Northern)
531,BALBOA PARK,531 Balboa Park (Central)
934,CARMEL VALLEY,934 Carmel Valley (Northwestern)
822,EL CERRITO,822 El Cerrito (Mid-City)
326,COLLEGE WEST,326 College West (Eastern)
323,DEL CERRO,323 Del Cerro (Eastern)
628,MIDTOWN,628 Midtown (Western)
526,CORTEZ,526 Cortez (Central)
235,SAN PASQUAL,235 San Pasqual (Northeastern)
613,POINT LOMA HEIGHTS,613 Point Loma Heights (Western)
711,TIJUANA RIVER VALLEY,711 Tijuana River Valley (Southern)
835,AZALEA/HOLLYWOOD PARK,835 Azalea/Hollywood Park (Mid-City)
838,CORRIDOR,838 Corridor (Mid-City)
245,RANCHO ENCANTADA,245 Rancho Encantada (Northeastern)
518,SOUTH PARK,518 South Park (Central)
126,TORREY PINES,126 Torrey Pines (Northern)
836,SWAN CANYON,836 Swan Canyon (Mid-City)
527,HARBORVIEW,527 Harborview (Central)
231,SABRE SPRINGS,231 Sabre Springs (Northeastern)
937,BLACK MOUNTAIN RANCH,937 Black Mountain Ranch (Northwestern)
812,BURLINGAME,812 Burlingame (Mid-City)
525,HORTON PLAZA,525 Horton Plaza (Central)
932,TORREY PRESERVE,932 Torrey Preserve (Northwestern)
316,QUALCOMM,316 Qualcomm (Eastern)
439,ALTA VISTA,439 Alta Vista (Southeastern)
435,BROADWAY HEIGHTS,435 Broadway Heights (Southeastern)
829,ISLENAIR,829 Islenair (Mid-City)
