Beat_Code,Neighborhood_Name,beatNumber
122 Pacific Beach (Northern),MIRAMAR RANCH NORTH,122
621 Linda Vista (Western),TORREY HIGHLANDS,621
622 Morena (Western),MISSION BAY,622
712 San Ysidro (Southern),NORTH CITY,712
523 Gaslamp (Central),LOMA PORTAL,523
714 Border (Southern),GASLAMP,714
242 Mira Mesa (Northeastern),HILLCREST,242
627 Hillcrest (Western),SOUTH PARK,627
445 Chollas View (Southeastern),NORTH PARK,445
434 Jamacha/Lomita (Southeastern),SOUTHCREST,434
327 College East (Eastern),TERALTA WEST,327
246 Miramar Ranch North (Northeastern),AZALEA/HOLLYWOOD PARK,246
524 Core-Columbia (Central),MT HOPE,524
723 Otay Mesa West (Southern),TERALTA EAST,723
436 Skyline (Southeastern),CHOLLAS VIEW,436
312 Tierra Santa (Eastern),RIDGEVIEW/WEBSTER,312
611 Midway District (Western),COLINA DEL SOL,611
725 Ocean Crest (Southern),PARADISE HILLS,725
315 Mission Valley East (Eastern),BAY TERRACES,315
512 Logan Heights (Central),SORRENTO VALLEY,512
612 Loma Portal (Western),SERRA MESA,612
541 Petco Park (Central),RANCHO BERNARDO,541
999 Unknown (Unknown),OCEAN CREST,999
447 Ridgeview/Webster (Southeastern),LA PLAYA,447
241 Scripps Ranch (Northeastern),ROSEVILLE / FLEET RIDGE,241
528 Little Italy (Central),HORTON PLAZA,528
115 University City (Northern),CORE-COLUMBIA,115
624 University Heights (Western),SHERMAN HEIGHTS,624
123 Mission Bay Park (Northern),BURLINGAME,123
446 Lincoln Park (Southeastern),STOCKTON,446
444 Mt. Hope (Southeastern),NORMAL HEIGHTS,444
311 Serra Mesa (Eastern),MOUNTAIN VIEW,311
233 Rancho Penasquitos (Northeastern),EMERALD HILLS,233
433 Encanto (Southeastern),REDWOOD VILLAGE/ROLANDO PARK,433
724 Palm City (Southern),ENCANTO,724
721 Egger Highlands (Southern),QUALCOMM,721
936 Torrey Highlands (Northwestern),MIRA MESA,936
114 North Clairemont (Northern),SAN CARLOS,114
831 Teralta East (Mid-City),RANCHO PENASQUITOS,831
441 Mountain View (Southeastern),SUNSET CLIFFS,441
112 Clairemont Mesa West (Northern),WOODED AREA,112
521 East Village (Central),PACIFIC BEACH,521
813 North Park (Mid-City),CARMEL VALLEY,813
933 Del Mar Heights (Northwestern),MISSION HILLS,933
451 Oak Park (Southeastern),CHEROKEE POINT,451
832 Teralta West (Mid-City),CORRIDOR,832
826 Colina Del Sol (Mid-City),SWAN CANYON,826
517 Golden Hill (Central),ISLENAIR,517
116 Bay Park (Northern),COLLEGE WEST,116
722 Nestor (Southern),BROADWAY HEIGHTS,722
113 Bay Ho (Northern),ALLIED GARDENS,113
811 Normal Heights (Mid-City),SKYLINE,811
522 Marina (Central),LAKE MURRAY,522
